,CellTypes
chip1_1851035014_site_25,TU-NK/TU-NK
chip3_1851035015_site_11,NK/NK
chip1_1851035014_site_01,NK/NK
chip3_1851035015_site_23,TU-NK/TU-NK
chip4_1851035024_site_39,TU/TU
chip4_1851035024_site_25,TU-NK/NK
chip2_1851035011_site_44,TU-NK/TU-NK
chip1_1851035014_site_26,TU-NK/TU-NK
chip2_1851035011_site_03,NK/NK
chip3_1851035015_site_31,TU-NK/TU-NK
chip1_1851035014_site_40,TU/TU
chip1_1851035014_site_46,TU/TU
chip1_1851035014_site_35,TU-NK/TU-NK
chip4_1851035024_site_18,TU-NK/TU-NK
chip3_1851035015_site_26,TU-NK/NK
chip1_1851035014_site_09,NK/NK
chip1_1851035014_site_42,TU/TU
chip2_1851035011_site_09,NK/NK
chip1_1851035014_site_06,NK/NK
chip3_1851035015_site_25,TU-NK/TU-NK
chip2_1851035011_site_22,TU-NK/TU-NK
chip2_1851035011_site_23,TU-NK/TU-NK
chip4_1851035024_site_24,TU-NK/TU-NK
chip2_1851035011_site_18,TU-NK/TU-NK
chip3_1851035015_site_44,TU/TU
chip1_1851035014_site_12,NK/NK
chip4_1851035024_site_19,TU-NK/TU-NK
chip2_1851035011_site_14,TU-NK/TU-NK
chip2_1851035011_site_07,NK/NK
chip1_1851035014_site_07,NK/NK
chip1_1851035014_site_31,TU-NK/TU-NK
chip4_1851035024_site_36,TU-NK/TU-NK
chip3_1851035015_site_03,NK/NK
chip4_1851035024_site_37,TU/TU
chip4_1851035024_site_29,TU-NK/TU-NK
chip2_1851035011_site_17,TU-NK/TU-NK
chip1_1851035014_site_03,NK/NK
chip4_1851035024_site_07,NK/NK
chip3_1851035015_site_39,NK/NK
chip4_1851035024_site_41,TU/TU
chip3_1851035015_site_07,NK/NK
chip4_1851035024_site_22,TU-NK/TU-NK
chip2_1851035011_site_28,TU-NK/NK
chip3_1851035015_site_42,TU/TU
chip2_1851035011_site_16,TU-NK/TU-NK
chip2_1851035011_site_33,TU-NK/TU-NK
chip1_1851035014_site_15,TU-NK/TU-NK
chip3_1851035015_site_30,NK/NK
chip2_1851035011_site_06,NK/NK
chip2_1851035011_site_13,TU-NK/TU-NK
chip4_1851035024_site_20,TU-NK/TU-NK
chip1_1851035014_site_36,TU-NK/TU-NK
chip1_1851035014_site_17,TU-NK/TU-NK
chip1_1851035014_site_11,NK/NK
chip3_1851035015_site_15,TU-NK/TU-NK
chip2_1851035011_site_34,TU-NK/TU-NK
chip3_1851035015_site_33,TU-NK/TU-NK
chip2_1851035011_site_47,TU/TU
chip3_1851035015_site_36,TU-NK/TU-NK
chip1_1851035014_site_44,TU/TU
chip1_1851035014_site_20,TU-NK/TU-NK
chip4_1851035024_site_03,NK/NK
chip1_1851035014_site_32,TU-NK/TU-NK
