"","x"
"1","chip1_1851035014_site_25"
"2","chip3_1851035015_site_11"
"3","chip1_1851035014_site_01"
"4","chip3_1851035015_site_23"
"5","chip4_1851035024_site_39"
"6","chip2_1851035011_site_03"
"7","chip1_1851035014_site_35"
"8","chip3_1851035015_site_26"
"9","chip1_1851035014_site_09"
"10","chip1_1851035014_site_42"
"11","chip2_1851035011_site_09"
"12","chip1_1851035014_site_06"
"13","chip3_1851035015_site_25"
"14","chip4_1851035024_site_24"
"15","chip1_1851035014_site_12"
"16","chip2_1851035011_site_07"
"17","chip1_1851035014_site_07"
"18","chip1_1851035014_site_31"
"19","chip4_1851035024_site_36"
"20","chip3_1851035015_site_03"
"21","chip2_1851035011_site_17"
"22","chip1_1851035014_site_03"
"23","chip4_1851035024_site_07"
"24","chip3_1851035015_site_39"
"25","chip4_1851035024_site_41"
"26","chip3_1851035015_site_07"
"27","chip2_1851035011_site_28"
"28","chip2_1851035011_site_16"
"29","chip2_1851035011_site_33"
"30","chip3_1851035015_site_30"
"31","chip2_1851035011_site_06"
"32","chip2_1851035011_site_13"
"33","chip1_1851035014_site_17"
"34","chip1_1851035014_site_11"
"35","chip3_1851035015_site_15"
"36","chip3_1851035015_site_36"
"37","chip4_1851035024_site_03"
"38","chip3_1851035015_site_41"
"39","chip1_1851035014_site_39"
"40","chip3_1851035015_site_05"
"41","chip4_1851035024_site_04"
"42","chip1_1851035014_site_05"
"43","chip4_1851035024_site_16"
"44","chip2_1851035011_site_11"
"45","chip3_1851035015_site_43"
"46","chip4_1851035024_site_11"
"47","chip1_1851035014_site_34"
"48","chip2_1851035011_site_37"
"49","chip3_1851035015_site_06"
"50","chip1_1851035014_site_27"
"51","chip1_1851035014_site_16"
"52","chip3_1851035015_site_12"
"53","chip4_1851035024_site_08"
"54","chip1_1851035014_site_19"
"55","chip1_1851035014_site_45"
"56","chip4_1851035024_site_38"
"57","chip2_1851035011_site_10"
"58","chip2_1851035011_site_12"
"59","chip1_1851035014_site_24"
"60","chip4_1851035024_site_14"
"61","chip3_1851035015_site_28"
"62","chip3_1851035015_site_08"
"63","chip2_1851035011_site_08"
"64","chip3_1851035015_site_16"
"65","chip3_1851035015_site_35"
"66","chip2_1851035011_site_27"
"67","chip1_1851035014_site_14"
"68","chip3_1851035015_site_02"
"69","chip4_1851035024_site_02"
"70","chip3_1851035015_site_24"
"71","chip3_1851035015_site_10"
"72","chip3_1851035015_site_13"
"73","chip2_1851035011_site_25"
"74","chip2_1851035011_site_29"
"75","chip2_1851035011_site_05"
"76","chip4_1851035024_site_06"
"77","chip4_1851035024_site_43"
"78","chip1_1851035014_site_02"
"79","chip3_1851035015_site_14"
"80","chip4_1851035024_site_12"
"81","chip4_1851035024_site_35"
"82","chip2_1851035011_site_46"
"83","chip1_1851035014_site_41"
"84","chip2_1851035011_site_30"
"85","chip3_1851035015_site_27"
"86","chip1_1851035014_site_21"
"87","chip2_1851035011_site_01"
"88","chip3_1851035015_site_01"
"89","chip3_1851035015_site_09"
"90","chip2_1851035011_site_43"
"91","chip1_1851035014_site_23"
"92","chip1_1851035014_site_22"
"93","chip2_1851035011_site_26"
"94","chip4_1851035024_site_27"
"95","chip2_1851035011_site_02"
"96","chip3_1851035015_site_29"
"97","chip1_1851035014_site_10"
"98","chip4_1851035024_site_15"
"99","chip3_1851035015_site_04"
"100","chip5_1851027101_site_15"
"101","chip5_1851027101_site_11"
"102","chip6_1851027105_site_02"
"103","chip5_1851027101_site_01"
"104","chip5_1851027101_site_18"
"105","chip6_1851027105_site_31"
"106","chip5_1851027101_site_48"
"107","chip8_1851022116_site_36"
"108","chip8_1851022116_site_07"
"109","chip6_1851027105_site_22"
"110","chip6_1851027105_site_16"
"111","chip5_1851027101_site_13"
"112","chip6_1851027105_site_24"
"113","chip6_1851027105_site_27"
"114","chip5_1851027101_site_07"
"115","chip8_1851022116_site_02"
"116","chip6_1851027105_site_08"
"117","chip5_1851027101_site_03"
"118","chip8_1851022116_site_05"
"119","chip8_1851022116_site_30"
"120","chip6_1851027105_site_12"
"121","chip8_1851022116_site_45"
"122","chip6_1851027105_site_48"
"123","chip8_1851022116_site_08"
"124","chip6_1851027105_site_39"
"125","chip8_1851022116_site_09"
"126","chip8_1851022116_site_11"
"127","chip6_1851027105_site_34"
"128","chip5_1851027101_site_06"
"129","chip6_1851027105_site_18"
"130","chip6_1851027105_site_05"
"131","chip8_1851022116_site_29"
"132","chip8_1851022116_site_15"
"133","chip6_1851027105_site_03"
"134","chip6_1851027105_site_01"
"135","chip5_1851027101_site_05"
"136","chip6_1851027105_site_07"
"137","chip8_1851022116_site_06"
"138","chip5_1851027101_site_27"
"139","chip5_1851027101_site_09"
"140","chip5_1851027101_site_08"
"141","chip5_1851027101_site_20"
"142","chip5_1851027101_site_10"
"143","chip6_1851027105_site_04"
"144","chip6_1851027105_site_09"
"145","chip5_1851027101_site_04"
"146","chip5_1851027101_site_02"
"147","chip5_1851027101_site_14"
"148","chip6_1851027105_site_33"
"149","chip6_1851027105_site_25"
"150","chip8_1851022116_site_26"
"151","chip8_1851022116_site_01"
"152","chip6_1851027105_site_06"
"153","chip5_1851027101_site_24"
"154","chip8_1851022116_site_03"
"155","chip5_1851027101_site_42"
"156","chip5_1851027101_site_12"
