Cells,Chip,Run,"Selection step (T0, black and white)",Tumor,NK,Final
chip1_1851035014_site_01,chip1,Run 1,NK,0,1,NK
chip1_1851035014_site_02,chip1,Run 1,NK,0,1,NK
chip1_1851035014_site_03,chip1,Run 1,NK,0,1,NK
chip1_1851035014_site_04,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_05,chip1,Run 1,NK,0,1,NK
chip1_1851035014_site_06,chip1,Run 1,NK,0,1,NK
chip1_1851035014_site_07,chip1,Run 1,NK,0,1,NK
chip1_1851035014_site_08,chip1,Run 1,0,0,0,0
chip1_1851035014_site_09,chip1,Run 1,NK,0,1,NK
chip1_1851035014_site_10,chip1,Run 1,NK,0,1,NK
chip1_1851035014_site_11,chip1,Run 1,NK,0,1,NK
chip1_1851035014_site_12,chip1,Run 1,NK,0,1,NK
chip1_1851035014_site_13,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_14,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_15,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_16,chip1,Run 1,Cancer,1,0,Cancer
chip1_1851035014_site_17,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_18,chip1,Run 1,Cancer-NK,1,0,Cancer
chip1_1851035014_site_19,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_20,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_21,chip1,Run 1,Cancer-NK,0,1,NK
chip1_1851035014_site_22,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_23,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_24,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_25,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_26,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_27,chip1,Run 1,Cancer-NK,0,1,NK
chip1_1851035014_site_28,chip1,Run 1,Cancer-NK,1,0,Cancer
chip1_1851035014_site_29,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_30,chip1,Run 1,Cancer-NK,1,0,Cancer
chip1_1851035014_site_31,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_32,chip1,Run 1,Cancer-NK,1,1,Cancer-NK
chip1_1851035014_site_33,chip1,Run 1,Cancer-NK,1,0,Cancer
