Cells,"Selection step (T0, black and white)",Final,Time point 1,Time point 2,Time point 3,Time point 4,Time point 5,Time point 6,Time point 7,Time point 8,Time point 9,Time point 10,Time point 11,Time point 12,Time point 13,Time point 14,Time point 15,Time point 16
chip1_1851035014_site_04,TU-NK,TU-NK,1.434,3.018,4.123,3.848,3.848,4.905,6.185,7.537,5.984,5.984,5.918,5.918,5.918,5.918,6.7,5.821
chip1_1851035014_site_13,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip1_1851035014_site_14,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,4.488,3.436,5.706
chip1_1851035014_site_15,TU-NK,TU-NK,0.76,2.875,6.043,4.732,3.915,2.775,14.112,15.772,13.7,13.7,15.603,15.603,15.603,19.749,21.914,27.516
chip1_1851035014_site_17,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip1_1851035014_site_18,TU-NK,TU,10.233,11.667,9.384,11.557,11.553,14.792,14.284,11.081,12.405,13.897,13.015,16.584,4.667,4.333,5.231,4.859
chip1_1851035014_site_19,TU-NK,TU-NK,0,0,0,1.509,2.635,2.173,0,0,0,0,0,0,0,0,0,0
chip1_1851035014_site_20,TU-NK,TU-NK,1.768,3.25,3.25,4.61,4.279,3.783,4.366,6.731,3.913,3.913,3.913,5.303,5.852,7.289,8.551,8.551
chip1_1851035014_site_22,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip1_1851035014_site_23,TU-NK,TU-NK,6.052,7.653,5.551,5.551,5.551,5.551,18.252,18.252,18.252,18.252,18.252,18.252,18.252,18.252,21.216,21.216
chip1_1851035014_site_24,TU-NK,TU-NK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.335
chip1_1851035014_site_25,TU-NK,TU-NK,2.833,5.088,5.776,5.776,5.207,5.54,4.197,4.74,3.682,5.805,5.805,5.786,5.357,5.357,5.357,4.868
chip1_1851035014_site_26,TU-NK,TU-NK,0,2.749,6.002,6.058,6.884,8.009,0,0,0,0,0,0,0,0,0,0
chip1_1851035014_site_27,TU-NK,NK,1.9,0,0,0.833,0,0,0,0,0,0,0,0,0,1.434,1.434,1.434
chip1_1851035014_site_29,TU-NK,TU-NK,5.927,5.13,5.13,3.717,3.021,2.795,1.458,1.414,1.414,1.118,0,0,4.757,0,0,0
chip1_1851035014_site_31,TU-NK,TU-NK,5.154,3.953,3.953,3.953,3.953,3.953,6.731,5.9,5.9,5.9,5.35,4.191,0,0,0,0
chip1_1851035014_site_32,TU-NK,TU-NK,4.845,3.804,4.14,3.905,3.905,4.534,4.007,4.696,5.27,3.567,3.567,3.567,3.005,7.018,9.168,12.171
