"","hgnc_symbol","K562_Amit_PR"
"2","DPM1",1.74509768380184
"3","SCYL3",0.227679151948084
"4","C1orf112",1.16207310599007
"5","CFH",3.55752781992061
"6","FUCA2",0.955167750672087
"7","NFYA",0.313922650502773
"8","STPG1",0.168458688486451
"9","NIPAL3",0.29192051678275
"10","LAS1L",1.04568100880147
"11","SEMA3F",0.171140592216581
"12","ANKIB1",1.03766230051959
"14","LAP3",3.58600954160825
"15","CD99",1.22269846549879
"16","MAD1L1",0.989341474707482
"17","LASP1",0.852811680042764
"22","ICA1",1.24876473679079
"23","DBNDD1",0.0412290025120406
"24","ALS2",0.910337224488363
"25","CASP10",0.434068093254172
"26","CFLAR",0.45789382236014
"27","TFPI",1.31519009890128
"28","NDUFAF7",1.33751947005375
"31","POLDIP2",1.08439712552357
"32","PLXND1",0.0724672103070066
"33","AK2",2.06456689867784
"35","KDM1A",2.53955956977997
"36","CAMKK1",0.131431608761599
"37","RECQL",1.28281047004057
"38","VPS50",2.08104815108281
"39","NDUFAB1",3.89818592470604
"42","SLC25A13",0.848766783691255
"43","ST7",0.672144184113781
"44","HCCS",1.31490662777757
"46","UPF1",0.712618026351064
"49","POLR2J",1.77920996667223
"51","LIG3",0.302014687942213
"52","RPAP3",2.88455949707341
"53","REXO5",1.07046841503169
"54","CIAPIN1",2.22321281794245
"55","SPPL2B",0.363162778574525
"56","FAM214B",0.0923370511004922
"57","PRKAR2B",1.66126194716352
"58","MSL3",2.84257697572066
"59","TSPOAP1",0.00634005053600909
"60","GCFC2",0.457595888447436
"63","KMT2E",0.259874874043814
"64","IBTK",0.561095983087687
"65","ZNF195",0.273460187034725
"66","MYCBP2",0.470403710334798
"67","FBXL3",0.276655884418581
"70","ZFX",0.544578465437277
"71","LAMP2",1.83482164428305
"72","ITGA2B",0.295909226504177
"73","GDE1",0.363607113323824
"74","REX1BD",5.1352188686671
"75","OSBPL7",0.152066720301955
"76","TMEM98",2.16973831205668
"77","MAP3K14",0.0690419950432678
"78","TNFRSF12A",0.387414079619071
"80","RALA",0.939287026960359
"81","KDM7A",0.170113464592373
"83","AGK",1.22224719355494
"85","PHTF2",1.00309040632137
"87","DBF4",0.748507975382206
"88","TBXA2R",0.0934739828511751
"89","COX10",0.488224822299091
"92","VPS41",1.75926559125186
"93","ELAC2",0.618716469879828
"95","PNPLA4",1.70868562187872
"96","ADIPOR2",0.637398749253838
"97","CDKL3",0.101667158579504
"98","PRSS21",0.995092068633148
"99","CCDC124",0.993845834833384
"100","PAFAH1B1",1.75240163610204
"101","KIAA0100",0.333569949594798
"102","TRAPPC6A",0.776693783893738
"103","MATK",0.298276875622924
"105","ST7L",0.402439594353387
"106","PAX6",0.11679457609841
"107","RPUSD1",0.645304132773429
"108","RHBDF1",0.0734000460756359
"111","TSR3",3.14198167815354
"112","CRAMP1",0.12462833533861
"113","TEAD3",0.0738108647292626
"114","DNAJC11",1.03724632478116
"115","MYLIP",0.131359152064739
"116","E2F2",0.0897719296278894
"117","PSMB1",4.47117437936479
"118","JARID2",0.305187627472146
"121","CYTH3",0.307716277776238
"122","SYPL1",0.693541701932659
"123","CYB561",0.774328107957807
"124","SPAG9",0.982724594399695
"125","CELSR3",0.0705366120504658
"126","SS18L2",0.760426476615262
"128","CRY1",0.899517978805165
"129","NFIX",0.42177934356479
"130","ST3GAL1",0.0979197757391761
"133","MED24",0.338605245850064
"135","HEATR5B",0.483161455811336
"136","SEC62",1.43009184581728
"137","CSDE1",2.14755391532269
"138","REV3L",0.140400556267417
"139","POMT2",0.330443326811809
"140","VTA1",1.85279408782451
"142","BAZ1B",0.411823636532571
"143","RANBP9",0.351713420944628
"144","SPRTN",0.522159446248848
"146","ZNF207",0.719708016913931
"147","UQCRC1",3.80672271644359
"148","STARD3NL",2.02391731297268
"152","PHF7",0.455954383244471
"153","NISCH",0.558698273476074
"155","ZNF200",0.126864004772271
"158","SCMH1",0.114927233660899
"159","FYN",0.573804491277107
"161","ELOA",0.328339194652162
"163","CLCN6",0.243086262540888
"165","BTBD7",0.163724995064192
"167","MKS1",1.17963040820186
"168","ABHD5",0.886338737356203
"169","AKAP8L",0.613985476288375
"170","MBTD1",0.181315579723181
"171","UTP18",2.44567369865365
"172","RNF216",0.257664886823111
"173","PTBP1",0.949416657253205
"174","DPF1",0.0953545425682469
"175","LARS2",0.998689684659994
"176","PLAUR",0.166201965192052
"177","ANLN",0.550246141634931
"178","WIZ",0.0435084626932419
"179","QPCTL",0.159205336661571
"180","PPP5C",0.604088659657629
"181","CEP68",0.0780097828677773
"182","MAP4K3",0.46689635632694
"183","LDAF1",0.73895497359241
"184","ERCC1",0.508170453635546
"187","PRICKLE3",0.121861254838887
"188","EXTL3",0.646698410178214
"189","CALCOCO1",0.41535716108125
"190","MAP4K5",0.675718167491934
"191","PSMC4",1.87095990142343
"192","MAN2B2",0.320680853925367
"193","SLC25A39",1.14193403032313
"194","NUB1",1.6519266332709
"196","RWDD2A",0.111304696200707
"198","POLR3B",1.36281117794518
"199","RNF14",0.955370091745093
"200","DNASE1L1",0.144145997975047
"201","DDX11",0.855553638216096
"202","HEBP1",0.0883973477196698
"205","UFL1",0.998569410766089
"206","POLA2",0.551784004351668
"207","ZC3H3",0.0957467339619048
"209","MDH1",4.9319719517481
"211","COX15",0.889358317724848
"212","CCDC88C",0.152244897249911
"213","YAF2",0.287814975296822
"214","ZMYND11",0.784015599698848
"215","WAS",0.501833031326149
"216","BID",2.69630190450946
"217","XYLT2",0.241333607225976
