"","Module"
"LAX1","Module1"
"PHF10","Module2"
"HEXIM1","Module3"
"PPIF","Module2"
"CLEC4C","Module1"
"ACER3","Module3"
"ZNF684","Module3"
"MAP7D2","Module3"
"MAST4","Module2"
"EXOC4","Module3"
"WDR41","Module2"
"HMGA1","Module4"
"INSR","Module2"
"TCN2","Module3"
"ZNF691","Module2"
"MAK16","Module3"
"FABP5","Module4"
"PRAMEF6","Module2"
"C16orf54","Module4"
"MGA","Module3"
"DNAJB4","Module3"
"NXF1","Module3"
"NDUFA11","Module3"
"ANKZF1","Module3"
"SPATA20","Module2"
"ZNF717","Module2"
"ASB7","Module4"
"TMEM116","Module3"
"TRAP1","Module2"
"WIPF2","Module1"
"PIGS","Module2"
"GHITM","Module3"
"SIVA1","Module3"
"SWT1","Module3"
"MORN2","Module4"
"RANGRF","Module2"
"NFE2L3","Module3"
"ZBTB41","Module2"
"RSBN1","Module2"
"ANKMY1","Module2"
"PPOX","Module3"
"B4GALT3","Module3"
"EYA2","Module3"
"BCKDHA","Module2"
"OCLM","Module3"
"LCAT","Module2"
"GABARAPL2","Module3"
"TCF20","Module3"
"TOP3A","Module4"
"TTC31","Module2"
"ADNP","Module2"
"ZNF394","Module1"
"MON1A","Module2"
"EIF2D","Module4"
"WDR37","Module2"
"TNFRSF21","Module4"
"RCL1","Module4"
"PGAM1","Module3"
"MELK","Module2"
"PRTFDC1","Module4"
"TMEM9","Module4"
"TRAK1","Module4"
"CHCHD7","Module2"
"POLR1C","Module4"
"GALNT2","Module2"
"C5orf15","Module1"
"TTLL7","Module2"
"AMPD2","Module2"
"DCAF4L1","Module3"
"ARRDC3","Module3"
"SIRT6","Module2"
"BPGM","Module3"
"ADIPOR2","Module2"
"TBC1D22B","Module2"
"GPT2","Module2"
"MTHFD2","Module2"
"PHF19","Module3"
"MRPL32","Module3"
"EIF4G1","Module4"
"PPM1G","Module3"
"UXT","Module3"
"DDX24","Module3"
"SIDT2","Module2"
"ISCU","Module2"
"PTN","Module1"
"TMEM106B","Module2"
"EME1","Module2"
"ENTPD5","Module4"
"UNC13B","Module2"
"GALNT11","Module2"
